team,season,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points,td_points,xp_points,fg_points,fumble,fumble_lost,shotgun,no_huddle,qb_dropback,pass_snaps_count,pass_snaps_pct,pass_attempts,complete_pass,incomplete_pass,air_yards,passing_yards,pass_td,interception,targets,receptions,receiving_yards,yards_after_catch,receiving_td,pass_fumble,pass_fumble_lost,rush_snaps_count,rush_snaps_pct,qb_scramble,rushing_yards,run_td,run_fumble,run_fumble_lost,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties,win_pct,record,yps
BUF,2015,1003,9399,44,34,23,367,264,34,69,23,7,783,50,559,508,0.51,455,295,160,4737,3600,25,9,455,295,3600,1290,25,14,5,495,0.49,51,2452,19,9,2,5,3,0,3,5,0,8,8,0,0.5,"	8-8-0",9.37
BUF,2016,1008,8909,47,40,19,379,282,40,57,14,5,826,50,571,520,0.52,465,286,179,4480,3250,17,7,465,286,3228,1168,17,2,2,488,0.48,52,2637,29,12,3,4,4,0,3,5,0,7,9,0,0.438,"	7-9-0",8.84
BUF,2017,993,7903,30,29,29,296,180,29,87,14,6,512,45,565,521,0.52,464,288,176,4128,3065,18,10,464,288,3065,1303,18,6,4,472,0.48,44,2034,12,8,2,6,2,0,3,5,0,9,7,0,0.563,"	9-7-0",7.96
BUF,2018,1001,7811,34,25,22,295,204,25,66,17,7,573,75,597,542,0.54,475,270,205,4943,3052,19,23,475,270,3052,1354,19,10,6,459,0.46,55,1993,15,7,1,4,4,0,2,6,0,6,10,0,0.375,"	6-10-0",7.8
BUF,2019,1004,8778,37,30,22,318,222,30,66,22,7,616,153,595,551,0.55,497,299,198,4686,3476,22,12,497,299,3476,1503,22,9,3,453,0.45,44,2067,13,13,4,4,4,0,6,2,0,10,6,0,0.625,"	10-6-0",8.74
BUF,2020,1007,11155,56,57,28,477,336,57,84,14,9,708,67,653,624,0.62,585,410,175,5133,4786,40,11,585,410,4786,1946,40,8,4,383,0.38,29,1749,16,6,5,7,1,0,6,2,0,13,3,0,0.813,"	13-3-0",11.08
BUF,2021,1125,10973,57,51,28,477,342,51,84,19,5,822,135,733,686,0.61,639,415,224,5355,4450,36,16,639,415,4450,1752,36,11,2,439,0.39,47,2229,20,8,3,6,3,0,5,3,0,11,6,0,0.647,"	11-6-0",9.75
BUF,2022,1018,10685,53,48,27,447,318,48,81,21,12,750,98,658,607,0.6,559,361,198,5286,4291,35,14,559,361,4291,1593,35,9,5,411,0.4,51,2261,16,12,7,7,1,0,6,2,0,13,3,0,0.813,"	13-3-0",10.5
BUF,2023,1094,10698,52,49,24,433,312,49,72,16,9,813,142,652,604,0.55,559,385,174,5021,4306,29,18,559,385,4306,1973,29,8,5,490,0.45,48,2234,22,8,4,7,2,0,4,4,0,11,6,0,0.647,"	11-6-0",9.78
CAR,2012,976,9703,45,43,16,361,270,43,48,17,6,667,31,559,524,0.54,476,284,192,4562,3927,22,12,476,284,3920,1740,22,9,2,452,0.46,35,2074,22,8,4,3,5,0,4,4,0,7,9,0,0.438,"	7-9-0",9.94
